Marca_Modelo,Precio,Km,Transmision,Combustible,URL
Honda Odyssey 2020,"US$25,900","72,000km",Automática - Se...,Gasolina,https://neoauto.com/auto/usado/honda-odyssey-2020-1839887
Mitsubishi Montero Sport 2019,"US$38,000","45,000km",Automática - Se...,Diesel,https://neoauto.com/auto/usado/mitsubishi-montero-sport-2019-1861335
Kia Niro 2024,"US$28,900","4,000km",Automática - Se...,Gasolina,https://neoauto.com/auto/usado/kia-niro-2024-1863814
Bmw X3 28i 2016,"US$19,000","113,000km",Automática - Se...,Gasolina,https://neoauto.com/auto/usado/bmw-x3-28i-2016-1861678
Audi A4 2006,"US$7,700","137,000km",Automática,Gasolina,https://neoauto.com/auto/usado/audi-a4-2006-1862582
Audi A4 2017,"US$21,500","44,000km",Automática - Se...,Gasolina,https://neoauto.com/auto/usado/audi-a4-2017-1850385
Bmw X3 20i 2021,"US$38,000","66,800km",Automática - Se...,Gasolina,https://neoauto.com/auto/usado/bmw-x3-20i-2021-1860319
Mercedes Benz Glc 250 4matic 2019,"US$27,300",62km,Automática - Se...,Gasolina,https://neoauto.com/auto/usado/mercedes-benz-glc-250-4matic-2019-1826605
Audi A3 Sedan 2019,"US$20,500","61,800km",Automática - Se...,Gasolina,https://neoauto.com/auto/usado/audi-a3-sedan-2019-1856778
Hyundai Accent 2024,"US$16,800",35km,Automática,Gas GLP,https://neoauto.com/auto/usado/hyundai-accent-2024-1851421
Peugeot 308 2013,"US$19,900","12,710km",Mecánica,Gasolina,https://neoauto.com/auto/usado/peugeot-308-2013-1863943
Mercedes Benz Gle 400 4matic 2016,"US$29,300","75,800km",Automática - Se...,Gasolina,https://neoauto.com/auto/usado/mercedes-benz-gle-400-4matic-2016-1863882
Audi Q3 2018,"US$20,950","68,500km",Automática - Se...,Gasolina,https://neoauto.com/auto/usado/audi-q3-2018-1858064
Mazda Cx-3 2023,"US$22,500","13,000km",Automática - Se...,Gasolina,https://neoauto.com/auto/usado/mazda-cx-3-2023-1863906
Kia Sorento 2021,"US$29,900","36,700km",Automática,Gasolina,https://neoauto.com/auto/usado/kia-sorento-2021-1863079
Audi A3 Sedan 2018,"US$22,500","43,500km",Automática - Se...,Gasolina,https://neoauto.com/auto/usado/audi-a3-sedan-2018-1849671
Peugeot 3008 2022,"US$22,000","65,000km",Automática,Gasolina,https://neoauto.com/auto/usado/peugeot-3008-2022-1834323
